step_id,latency_ms,queue_time,attempt,parallel_group_id,workflow,tenant,version,risk,sla_ms,critical_path_ms,started_at,sla_breach_risk
step_0054,1028,48,0,39,designer_collection,EcoWear,v3.0,ok,12396,7549,2025-09-14 05:03:30,0
step_0055,959,713,1,13,production_forecast,GlobalFactory,v3.0,ok,13711,10091,2025-09-06 02:03:31,1
step_0056,277,395,0,4,production_forecast,EcoWear,v3.0,ok,11875,7641,2025-09-03 19:00:29,1
step_0057,402,370,2,22,production_forecast,EcoWear,v3.0,at_risk,12297,8567,2025-10-04 01:51:35,0
step_0058,630,635,1,24,production_forecast,GlobalFactory,v2.0,watch,6118,5734,2025-09-09 01:31:31,1
step_0059,989,652,2,35,retail_storefront,LuxDesign,v1.0,ok,11399,8026,2025-10-04 08:21:13,0
step_0060,357,10,0,38,designer_collection,LuxDesign,v3.0,watch,11913,7937,2025-10-18 02:45:57,0
step_0061,439,93,0,32,retail_storefront,TrendyRetail,v2.0,breach,14318,8959,2025-09-01 20:13:39,0
step_0062,230,188,1,0,production_forecast,GlobalFactory,v2.0,ok,12318,7833,2025-10-13 05:42:30,0
step_0063,216,793,1,0,designer_collection,GlobalFactory,v2.0,breach,11216,8911,2025-09-11 15:13:44,0
step_0064,883,601,0,49,designer_collection,TrendyRetail,v2.0,watch,16528,11362,2025-09-01 03:14:00,1
step_0065,1292,992,2,5,retail_storefront,AcmeFashion,v2.0,ok,9856,5461,2025-09-09 04:31:42,0
step_0066,475,944,0,6,production_forecast,GlobalFactory,v1.0,watch,11605,7525,2025-09-27 23:12:31,1
step_0067,1009,1342,1,34,retail_storefront,AcmeFashion,v2.0,ok,7234,6308,2025-09-22 23:26:26,1
step_0068,644,331,1,24,designer_collection,EcoWear,v3.0,ok,10485,6859,2025-09-04 06:02:58,0
step_0069,318,296,0,17,designer_collection,EcoWear,v2.0,watch,10275,3337,2025-09-03 07:46:35,0
step_0070,643,1244,2,0,sustainability_audit,TrendyRetail,v2.0,at_risk,9634,8101,2025-09-06 21:53:23,0
step_0071,1467,189,1,0,sustainability_audit,AcmeFashion,v1.0,ok,7561,4924,2025-09-24 06:28:39,1
step_0072,487,432,0,32,retail_storefront,LuxDesign,v1.0,ok,6558,5782,2025-10-04 18:54:20,1
step_0073,1494,151,1,0,retail_storefront,TrendyRetail,v2.0,ok,10213,6535,2025-09-01 02:33:06,0
step_0074,100,1716,1,15,production_forecast,TrendyRetail,v2.0,ok,7770,6157,2025-09-14 02:59:03,1
step_0075,888,366,0,34,production_forecast,TrendyRetail,v1.0,ok,12601,9679,2025-09-28 03:35:01,0
step_0076,531,167,2,46,production_forecast,TrendyRetail,v3.0,ok,15335,9628,2025-09-06 15:13:20,0
step_0077,405,824,0,43,sustainability_audit,LuxDesign,v2.0,watch,10454,5319,2025-10-12 15:46:19,1
step_0078,533,196,1,42,retail_storefront,EcoWear,v2.0,ok,10526,5650,2025-09-10 15:00:14,0
step_0079,124,2011,1,10,production_forecast,TrendyRetail,v1.0,ok,6114,4584,2025-10-15 14:11:15,1
step_0080,428,320,0,46,designer_collection,EcoWear,v3.0,watch,13498,9220,2025-09-05 11:00:03,0
step_0081,641,764,0,31,sustainability_audit,GlobalFactory,v3.0,ok,9849,6864,2025-09-29 11:06:28,0
step_0082,4771,296,3,43,production_forecast,AcmeFashion,v2.0,ok,12053,9077,2025-09-10 10:26:51,1
step_0083,347,1152,1,0,sustainability_audit,TrendyRetail,v1.0,watch,7658,4874,2025-09-02 17:10:56,0
step_0084,283,1590,0,0,retail_storefront,AcmeFashion,v1.0,ok,9464,5944,2025-09-22 10:45:09,1
step_0085,351,1085,0,15,designer_collection,GlobalFactory,v2.0,ok,14954,9230,2025-10-10 14:15:17,0
step_0086,948,1321,0,40,production_forecast,TrendyRetail,v1.0,ok,9323,7087,2025-09-18 19:09:50,1
step_0087,629,75,0,14,retail_storefront,TrendyRetail,v2.0,ok,9351,9095,2025-10-14 09:00:08,1
step_0088,345,1804,0,43,designer_collection,TrendyRetail,v1.0,ok,14165,9161,2025-10-08 03:27:56,0
step_0089,716,685,1,3,retail_storefront,GlobalFactory,v2.0,at_risk,11392,8644,2025-09-13 07:18:54,0
step_0090,535,1423,1,0,production_forecast,GlobalFactory,v3.0,breach,13324,11307,2025-09-28 18:57:48,0
step_0091,985,807,0,36,designer_collection,AcmeFashion,v2.0,ok,10286,6185,2025-09-23 18:09:52,0
step_0092,305,157,1,27,designer_collection,LuxDesign,v1.0,at_risk,11625,10770,2025-09-27 05:01:54,0
step_0093,397,658,0,16,designer_collection,GlobalFactory,v2.0,ok,9844,5493,2025-09-30 22:04:50,0
step_0094,379,66,1,41,designer_collection,GlobalFactory,v1.0,ok,9698,7620,2025-10-02 10:21:48,0
step_0095,179,832,2,40,retail_storefront,AcmeFashion,v3.0,ok,8093,3998,2025-09-15 06:52:49,0
step_0096,615,368,0,8,retail_storefront,LuxDesign,v2.0,watch,9918,7731,2025-10-01 14:09:54,0
step_0097,600,115,1,40,designer_collection,TrendyRetail,v2.0,ok,15808,10081,2025-10-15 02:40:11,0
step_0098,501,2711,2,10,designer_collection,AcmeFashion,v1.0,watch,15046,7073,2025-10-19 00:20:12,0
step_0099,424,1619,0,27,designer_collection,GlobalFactory,v2.0,watch,13295,11398,2025-09-12 19:13:10,1
step_0100,185,1568,1,0,sustainability_audit,LuxDesign,v2.0,breach,8175,6032,2025-09-29 01:26:50,0
step_0101,372,1088,1,5,production_forecast,GlobalFactory,v2.0,watch,8755,5321,2025-09-01 02:42:52,0
step_0102,393,824,1,16,designer_collection,EcoWear,v1.0,breach,11306,7563,2025-09-12 16:42:10,0
step_0103,285,745,1,8,production_forecast,EcoWear,v2.0,ok,11899,8041,2025-09-14 11:46:08,0
step_0104,446,78,2,0,sustainability_audit,TrendyRetail,v2.0,ok,11116,7245,2025-10-18 19:27:51,0
step_0105,663,1615,0,18,retail_storefront,LuxDesign,v1.0,ok,10479,6751,2025-09-14 19:19:36,0
step_0106,1872,1490,1,20,production_forecast,AcmeFashion,v1.0,ok,10795,7347,2025-10-16 17:56:44,0
step_0107,564,964,0,0,retail_storefront,LuxDesign,v1.0,ok,10427,10281,2025-09-05 19:53:23,1
step_0108,598,1835,2,0,retail_storefront,EcoWear,v3.0,ok,8898,2809,2025-10-14 06:35:31,0
step_0109,474,563,0,0,designer_collection,LuxDesign,v2.0,at_risk,8538,2956,2025-10-05 21:30:36,0
step_0110,130,415,2,0,sustainability_audit,AcmeFashion,v3.0,watch,9421,7268,2025-10-13 16:49:00,1
step_0111,490,2408,1,10,retail_storefront,AcmeFashion,v2.0,watch,10366,3380,2025-09-08 18:45:23,0
step_0112,521,436,0,0,production_forecast,GlobalFactory,v3.0,watch,10718,6752,2025-09-12 09:09:58,0
step_0113,2804,717,0,45,production_forecast,TrendyRetail,v3.0,ok,7645,4174,2025-09-16 04:35:32,1
step_0114,437,326,0,0,designer_collection,AcmeFashion,v2.0,ok,11490,7984,2025-09-07 23:46:28,0
step_0115,617,708,1,0,retail_storefront,LuxDesign,v2.0,ok,8773,5201,2025-10-08 06:52:46,0
step_0116,487,891,1,13,production_forecast,EcoWear,v2.0,ok,13939,9535,2025-09-19 08:48:34,0
step_0117,220,685,0,0,production_forecast,LuxDesign,v2.0,ok,12235,7394,2025-09-05 07:28:32,0
step_0118,4637,505,0,0,designer_collection,TrendyRetail,v1.0,at_risk,5000,2000,2025-10-19 20:52:23,1
step_0119,846,249,1,35,designer_collection,EcoWear,v1.0,ok,12121,8085,2025-09-30 15:12:39,1
step_0120,869,722,0,23,sustainability_audit,GlobalFactory,v3.0,ok,7726,6174,2025-09-07 15:49:53,0
step_0121,264,1673,1,0,production_forecast,LuxDesign,v2.0,ok,7803,6407,2025-09-03 20:49:35,1
step_0122,1334,4,2,17,retail_storefront,EcoWear,v2.0,watch,5420,4064,2025-09-16 22:19:34,0
step_0123,187,100,0,0,retail_storefront,TrendyRetail,v2.0,watch,11753,10139,2025-09-29 09:37:52,0
step_0124,754,89,1,10,sustainability_audit,LuxDesign,v1.0,watch,12026,8546,2025-09-04 15:41:40,0
step_0125,2316,1796,1,11,sustainability_audit,LuxDesign,v1.0,watch,7000,6134,2025-09-16 17:51:00,1
step_0126,249,760,2,39,production_forecast,AcmeFashion,v2.0,ok,13461,9026,2025-10-12 23:13:59,1
step_0127,336,2122,0,34,sustainability_audit,LuxDesign,v3.0,ok,14205,10629,2025-10-05 04:50:44,0
step_0128,536,611,0,44,designer_collection,GlobalFactory,v2.0,ok,11504,10991,2025-09-01 17:07:16,1
step_0129,351,433,0,0,production_forecast,TrendyRetail,v2.0,ok,9012,6575,2025-10-13 21:19:21,0
step_0130,168,1100,1,21,retail_storefront,AcmeFashion,v2.0,ok,9854,8693,2025-10-06 10:01:26,0
step_0131,524,122,2,0,sustainability_audit,LuxDesign,v2.0,ok,12337,8650,2025-10-09 12:34:53,0
step_0132,237,336,0,40,production_forecast,TrendyRetail,v2.0,ok,13895,7845,2025-09-09 01:50:11,0
step_0133,696,439,0,11,production_forecast,LuxDesign,v2.0,at_risk,10922,7882,2025-09-12 08:00:08,1
step_0134,262,248,2,0,retail_storefront,EcoWear,v2.0,ok,8162,6514,2025-09-04 07:25:37,0
step_0135,1479,324,0,8,production_forecast,LuxDesign,v1.0,ok,11534,9347,2025-09-03 03:52:35,0
step_0136,288,56,0,6,production_forecast,LuxDesign,v3.0,at_risk,10785,6527,2025-09-13 03:01:50,0
step_0137,399,154,0,36,retail_storefront,LuxDesign,v2.0,ok,10238,12815,2025-09-03 14:07:55,1
step_0138,883,286,2,0,retail_storefront,GlobalFactory,v1.0,at_risk,9226,8077,2025-09-14 14:46:03,1
step_0139,211,1112,1,23,designer_collection,AcmeFashion,v3.0,ok,12460,10606,2025-10-06 05:09:45,0
step_0140,586,141,0,38,production_forecast,EcoWear,v1.0,at_risk,6899,6148,2025-09-25 10:03:21,0
step_0141,1248,297,1,34,designer_collection,AcmeFashion,v2.0,watch,12861,7741,2025-09-16 00:50:42,0
step_0142,162,46,0,46,retail_storefront,LuxDesign,v2.0,watch,12272,7962,2025-09-12 21:50:40,0
step_0143,568,570,1,0,designer_collection,LuxDesign,v1.0,ok,11543,8924,2025-09-10 06:00:11,0
step_0144,599,661,0,10,retail_storefront,AcmeFashion,v3.0,at_risk,10251,4407,2025-10-10 07:35:59,0
step_0145,864,1404,1,11,production_forecast,GlobalFactory,v2.0,ok,7467,4514,2025-09-04 23:19:20,1
step_0146,4464,1196,0,0,designer_collection,EcoWear,v2.0,ok,13248,8517,2025-09-24 02:29:34,1
step_0147,198,235,0,39,retail_storefront,EcoWear,v3.0,watch,11854,9207,2025-09-26 02:36:11,0
step_0148,720,103,1,31,designer_collection,TrendyRetail,v2.0,at_risk,15938,9666,2025-10-18 19:17:13,0
step_0149,615,118,2,21,designer_collection,GlobalFactory,v2.0,at_risk,6300,7425,2025-10-14 19:58:00,1
step_0150,595,2430,1,13,production_forecast,GlobalFactory,v2.0,ok,12162,13351,2025-10-01 07:07:36,1
step_0151,637,782,0,44,designer_collection,EcoWear,v2.0,ok,7824,6126,2025-09-13 06:16:52,0
step_0152,310,30,1,5,designer_collection,EcoWear,v2.0,ok,12938,10922,2025-09-20 12:06:42,0
step_0153,588,102,0,9,production_forecast,GlobalFactory,v1.0,ok,9780,7590,2025-09-14 23:10:41,0
step_0154,613,465,0,48,designer_collection,GlobalFactory,v1.0,ok,13201,8430,2025-10-19 14:28:09,0
step_0155,303,163,0,0,retail_storefront,TrendyRetail,v3.0,ok,10861,6196,2025-10-10 22:49:43,0
step_0156,1845,1139,0,37,designer_collection,TrendyRetail,v1.0,at_risk,12199,9053,2025-09-01 01:34:25,0
step_0157,696,596,0,33,production_forecast,LuxDesign,v2.0,at_risk,9995,5984,2025-10-09 14:58:54,0
step_0158,217,663,1,44,production_forecast,TrendyRetail,v1.0,ok,11356,9469,2025-09-13 02:08:59,0
step_0159,4847,435,0,0,sustainability_audit,LuxDesign,v3.0,ok,11877,7349,2025-09-18 14:11:29,1
step_0160,252,207,0,49,designer_collection,GlobalFactory,v1.0,ok,12641,9179,2025-09-25 08:47:23,0
step_0161,867,623,1,0,sustainability_audit,EcoWear,v2.0,ok,11581,6820,2025-09-12 04:51:47,0
step_0162,1125,883,0,9,designer_collection,EcoWear,v2.0,ok,8666,4677,2025-09-07 17:10:03,0
step_0163,281,324,0,0,retail_storefront,EcoWear,v1.0,watch,10128,9255,2025-10-18 22:17:27,0
step_0164,981,492,1,0,designer_collection,GlobalFactory,v2.0,watch,10837,6893,2025-09-15 12:56:16,1
step_0165,667,1281,0,48,sustainability_audit,GlobalFactory,v3.0,at_risk,11554,7478,2025-09-09 08:16:26,0
step_0166,888,112,0,33,retail_storefront,EcoWear,v2.0,at_risk,11061,6772,2025-09-02 17:42:32,0
step_0167,1886,551,0,20,designer_collection,EcoWear,v1.0,ok,10767,6783,2025-10-03 15:30:57,0
step_0168,421,299,1,0,designer_collection,GlobalFactory,v2.0,ok,12368,8496,2025-10-07 11:42:19,1
step_0169,295,849,0,21,production_forecast,GlobalFactory,v1.0,ok,10690,4446,2025-09-22 19:17:38,0
step_0170,268,13,1,8,production_forecast,LuxDesign,v3.0,watch,11862,9523,2025-09-02 22:55:33,0
step_0171,282,777,1,5,production_forecast,LuxDesign,v2.0,watch,11766,8827,2025-09-25 11:31:17,0
step_0172,473,76,4,27,production_forecast,AcmeFashion,v2.0,ok,11150,9120,2025-09-24 01:01:39,0
step_0173,634,46,1,37,retail_storefront,LuxDesign,v2.0,ok,7324,7069,2025-10-02 04:31:35,1
step_0174,606,902,1,16,designer_collection,EcoWear,v1.0,ok,15563,11113,2025-09-06 16:56:53,0
step_0175,892,715,0,19,designer_collection,TrendyRetail,v1.0,ok,14533,10328,2025-09-25 13:26:21,0
step_0176,504,1577,1,29,designer_collection,GlobalFactory,v2.0,ok,12214,9445,2025-09-06 16:18:42,0
step_0177,1383,513,2,0,designer_collection,EcoWear,v2.0,ok,13245,7297,2025-09-29 09:09:40,0
step_0178,415,528,0,40,production_forecast,LuxDesign,v3.0,at_risk,12322,8088,2025-10-11 10:59:33,0
step_0179,3356,859,0,40,production_forecast,AcmeFashion,v1.0,ok,9480,8104,2025-10-08 16:52:08,0
step_0180,774,273,4,22,retail_storefront,TrendyRetail,v2.0,ok,12484,10034,2025-10-18 18:33:06,0
step_0181,274,26,0,0,designer_collection,LuxDesign,v3.0,ok,7123,8284,2025-09-12 08:52:20,0
step_0182,236,182,0,19,production_forecast,LuxDesign,v1.0,ok,7250,4960,2025-09-02 19:51:02,0
step_0183,700,190,1,0,designer_collection,AcmeFashion,v2.0,ok,10284,9023,2025-09-13 15:32:53,0
step_0184,427,286,1,36,sustainability_audit,EcoWear,v1.0,ok,10671,7381,2025-09-02 18:15:44,0
step_0185,824,2010,0,7,production_forecast,GlobalFactory,v3.0,ok,11292,6253,2025-10-14 15:47:05,0
step_0186,696,1143,0,7,production_forecast,TrendyRetail,v1.0,watch,11160,8077,2025-09-27 20:50:36,0
step_0187,475,1923,0,47,production_forecast,EcoWear,v3.0,ok,10842,7260,2025-09-27 21:33:22,0
step_0188,276,4604,1,14,designer_collection,TrendyRetail,v3.0,ok,11230,7229,2025-09-18 20:08:46,1
step_0189,173,398,0,37,designer_collection,AcmeFashion,v3.0,ok,8939,4645,2025-09-23 22:48:41,0
step_0190,365,180,1,28,production_forecast,TrendyRetail,v2.0,ok,7971,5191,2025-09-19 12:51:12,0
step_0191,910,574,0,8,sustainability_audit,AcmeFashion,v3.0,ok,7431,3942,2025-10-07 22:39:21,1
step_0192,580,1490,1,0,designer_collection,GlobalFactory,v2.0,breach,9376,9539,2025-09-01 11:47:53,1
step_0193,209,438,1,38,production_forecast,TrendyRetail,v2.0,ok,7887,6881,2025-09-28 20:51:01,0
step_0194,564,492,0,36,production_forecast,LuxDesign,v1.0,watch,7840,3735,2025-10-18 04:59:45,0
step_0195,654,101,1,0,production_forecast,EcoWear,v2.0,ok,10397,6382,2025-10-12 23:02:29,0
step_0196,269,381,1,4,production_forecast,GlobalFactory,v2.0,watch,13322,8732,2025-09-02 12:52:54,0
step_0197,556,342,0,36,designer_collection,LuxDesign,v1.0,ok,13056,8826,2025-09-02 12:50:05,0
step_0198,520,303,0,49,production_forecast,GlobalFactory,v3.0,at_risk,8962,5016,2025-09-06 03:29:46,0
step_0199,224,1528,2,41,designer_collection,GlobalFactory,v1.0,ok,10343,7074,2025-09-01 19:05:28,0
step_0200,642,42,1,31,production_forecast,EcoWear,v2.0,ok,15173,12143,2025-09-23 06:05:50,0
step_0201,740,2506,0,45,designer_collection,TrendyRetail,v1.0,ok,10802,7007,2025-09-30 23:40:49,0
step_0202,1067,5,0,6,designer_collection,EcoWear,v1.0,watch,9391,4785,2025-09-11 19:48:05,1
step_0203,1045,2037,0,0,designer_collection,EcoWear,v2.0,ok,11308,4889,2025-09-24 14:29:22,0
step_0204,190,555,0,8,retail_storefront,EcoWear,v2.0,ok,8861,3263,2025-10-16 10:33:13,0
step_0205,259,848,0,49,designer_collection,TrendyRetail,v1.0,watch,9944,7387,2025-09-09 08:11:00,0
step_0206,717,145,0,43,designer_collection,AcmeFashion,v2.0,ok,12083,8647,2025-09-05 18:16:44,0
step_0207,716,743,0,0,designer_collection,LuxDesign,v1.0,ok,15040,10224,2025-09-10 20:47:36,0
step_0208,717,1495,0,19,designer_collection,AcmeFashion,v3.0,ok,8831,5308,2025-10-15 03:54:35,0
step_0209,5000,105,3,0,production_forecast,TrendyRetail,v2.0,ok,11854,7660,2025-09-07 23:49:45,1
step_0210,745,95,0,37,retail_storefront,GlobalFactory,v2.0,ok,11975,8771,2025-10-07 01:17:45,0
step_0211,1107,253,1,11,sustainability_audit,GlobalFactory,v3.0,ok,10901,6740,2025-10-12 11:50:59,0
step_0212,974,123,1,45,sustainability_audit,GlobalFactory,v2.0,ok,12069,8521,2025-10-03 08:18:52,0
step_0213,788,82,1,0,designer_collection,GlobalFactory,v1.0,watch,13289,8923,2025-10-14 09:46:30,0
step_0214,400,793,3,34,designer_collection,LuxDesign,v3.0,ok,10326,7375,2025-10-17 05:15:11,0
step_0215,850,168,0,13,production_forecast,LuxDesign,v1.0,watch,14950,7192,2025-09-09 03:50:36,0
step_0216,291,769,0,5,retail_storefront,TrendyRetail,v1.0,ok,11040,8942,2025-09-24 16:57:16,0
step_0217,423,1385,0,20,designer_collection,TrendyRetail,v1.0,ok,17482,12654,2025-10-02 21:23:35,0
step_0218,355,738,0,18,production_forecast,AcmeFashion,v1.0,ok,6904,4121,2025-09-25 02:36:20,0
step_0219,529,88,0,10,production_forecast,LuxDesign,v1.0,watch,16258,10906,2025-10-01 06:48:43,0
step_0220,2527,596,0,29,designer_collection,AcmeFashion,v2.0,ok,14072,10641,2025-10-12 06:09:20,0
step_0221,135,350,1,29,production_forecast,AcmeFashion,v2.0,ok,12035,8230,2025-09-24 13:17:04,0
step_0222,808,294,1,0,designer_collection,TrendyRetail,v2.0,at_risk,9787,7758,2025-09-05 04:31:36,0
step_0223,161,268,2,25,production_forecast,GlobalFactory,v1.0,watch,12631,9011,2025-10-10 04:55:20,0
step_0224,359,1855,1,32,designer_collection,AcmeFashion,v3.0,ok,14875,11808,2025-10-05 20:46:54,0
step_0225,1071,949,1,0,designer_collection,AcmeFashion,v2.0,ok,7782,3998,2025-09-07 04:29:01,1
step_0226,523,100,0,29,designer_collection,LuxDesign,v3.0,watch,13368,9547,2025-09-02 18:52:05,0
step_0227,235,452,0,38,retail_storefront,EcoWear,v1.0,ok,8707,3423,2025-10-04 20:21:34,0
step_0228,303,268,0,40,retail_storefront,TrendyRetail,v2.0,ok,11155,6360,2025-09-16 11:25:03,0
step_0229,804,2669,2,0,retail_storefront,GlobalFactory,v3.0,ok,7939,3526,2025-09-29 00:54:11,1
step_0230,299,2672,0,32,designer_collection,TrendyRetail,v1.0,ok,15050,10297,2025-10-01 22:35:17,0
step_0231,4633,269,0,38,designer_collection,EcoWear,v3.0,at_risk,11808,7760,2025-10-05 18:14:35,1
step_0232,516,303,0,13,designer_collection,EcoWear,v2.0,watch,13799,8742,2025-09-09 23:41:22,0
step_0233,316,640,1,22,production_forecast,LuxDesign,v3.0,watch,13126,7183,2025-10-09 08:33:30,0
step_0234,4925,456,0,5,designer_collection,AcmeFashion,v2.0,ok,12717,6399,2025-10-10 10:31:47,0
step_0235,779,167,1,7,designer_collection,AcmeFashion,v3.0,breach,9914,5233,2025-09-24 16:23:33,0
step_0236,121,756,0,19,designer_collection,TrendyRetail,v1.0,ok,13519,10770,2025-09-03 08:20:04,0
step_0237,569,284,0,0,production_forecast,LuxDesign,v2.0,ok,10789,7595,2025-09-10 10:17:58,0
step_0238,314,742,1,11,designer_collection,TrendyRetail,v3.0,at_risk,12456,7327,2025-09-15 13:33:58,0
step_0239,908,338,0,7,sustainability_audit,EcoWear,v3.0,ok,9270,6342,2025-09-28 22:42:56,0
step_0240,287,843,2,3,retail_storefront,GlobalFactory,v1.0,ok,6420,4881,2025-09-14 07:27:14,0
step_0241,461,771,1,18,designer_collection,LuxDesign,v1.0,ok,12140,8652,2025-09-17 21:54:35,0
step_0242,712,497,0,40,designer_collection,EcoWear,v2.0,breach,10564,6580,2025-10-16 19:19:27,0
step_0243,916,853,1,3,designer_collection,GlobalFactory,v1.0,watch,12720,8095,2025-10-16 03:12:22,0
step_0244,215,432,0,29,designer_collection,TrendyRetail,v1.0,ok,11913,7634,2025-09-16 00:59:02,0
step_0245,395,86,0,4,designer_collection,EcoWear,v2.0,ok,10736,9328,2025-10-08 19:07:25,0
