id,task,tenant,status,mode,budget_json,policy_json,started_at,ended_at,cost_cents,latency_ms,reward
run_061,personalized_outfit,tenant_a,succeeded,thorough,"{""max_latency_ms"": 2651, ""max_cost_cents"": 10}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-22 11:02:07.742394,2025-09-22 11:31:32.742394,8.95,2488,0.0
run_062,personalized_outfit,tenant_d,failed,thorough,"{""max_latency_ms"": 1977, ""max_cost_cents"": 7}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-10-01 11:02:07.742394,2025-10-01 11:31:41.742394,4.04,1704,0.22
run_063,design_recommendation,tenant_c,succeeded,fast,"{""max_latency_ms"": 1506, ""max_cost_cents"": 11}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-07 11:02:07.742394,2025-09-07 11:08:50.742394,2.56,2486,0.35
run_064,personalized_outfit,tenant_a,failed,thorough,"{""max_latency_ms"": 1814, ""max_cost_cents"": 10}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-03 11:02:07.742394,2025-09-03 11:15:43.742394,5.21,680,0.4
run_065,dynamic_pricing,tenant_c,succeeded,fast,"{""max_latency_ms"": 1746, ""max_cost_cents"": 6}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-04 11:02:07.742920,2025-09-04 11:12:51.742920,1.47,1789,0.7
run_066,design_recommendation,tenant_c,failed,thorough,"{""max_latency_ms"": 1809, ""max_cost_cents"": 7}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-12 11:02:07.743006,2025-09-12 11:19:39.743006,5.28,963,0.33
run_067,design_recommendation,tenant_c,succeeded,fast,"{""max_latency_ms"": 1764, ""max_cost_cents"": 10}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-26 11:02:07.743006,2025-09-26 11:23:21.743006,4.7,1738,0.32
run_068,dynamic_pricing,tenant_b,succeeded,thorough,"{""max_latency_ms"": 1615, ""max_cost_cents"": 12}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-13 11:02:07.743006,2025-09-13 11:04:23.743006,8.52,1058,0.22
run_069,dynamic_pricing,tenant_c,succeeded,thorough,"{""max_latency_ms"": 2148, ""max_cost_cents"": 8}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-17 11:02:07.743006,2025-09-17 11:18:19.743006,1.53,889,0.78
run_070,personalized_outfit,tenant_d,succeeded,thorough,"{""max_latency_ms"": 1544, ""max_cost_cents"": 10}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-16 11:02:07.743006,2025-09-16 11:12:39.743006,3.27,698,0.42
run_071,dynamic_pricing,tenant_d,failed,fast,"{""max_latency_ms"": 1473, ""max_cost_cents"": 9}","{""eco_min_score"": 0.4, ""culture_check"": false}",2025-09-14 11:02:07.743006,2025-09-14 11:27:51.743006,6.14,2229,0.08
run_072,design_recommendation,tenant_d,failed,thorough,"{""max_latency_ms"": 2457, ""max_cost_cents"": 15}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-10 11:02:07.743006,2025-09-10 11:15:58.743006,7.69,2089,0.18
run_073,personalized_outfit,tenant_d,failed,fast,"{""max_latency_ms"": 1213, ""max_cost_cents"": 5}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-11 11:02:07.743006,2025-09-11 11:16:16.743006,4.97,1557,0.25
run_074,design_recommendation,tenant_a,succeeded,fast,"{""max_latency_ms"": 1939, ""max_cost_cents"": 7}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-26 11:02:07.743006,2025-09-26 11:20:50.743006,7.28,1903,0.39
run_075,personalized_outfit,tenant_b,failed,thorough,"{""max_latency_ms"": 1735, ""max_cost_cents"": 10}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-11 11:02:07.743006,2025-09-11 11:18:08.743006,1.13,1090,0.4
run_076,personalized_outfit,tenant_d,succeeded,fast,"{""max_latency_ms"": 2930, ""max_cost_cents"": 8}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-08 11:02:07.743006,2025-09-08 11:08:58.743006,9.79,2440,0.0
run_077,design_recommendation,tenant_c,succeeded,fast,"{""max_latency_ms"": 1418, ""max_cost_cents"": 13}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-09 11:02:07.743006,2025-09-09 11:34:58.743006,9.77,2141,0.17
run_078,personalized_outfit,tenant_d,failed,thorough,"{""max_latency_ms"": 2260, ""max_cost_cents"": 11}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-22 11:02:07.743925,2025-09-22 11:07:38.743925,3.0,678,0.38
run_079,design_recommendation,tenant_b,failed,thorough,"{""max_latency_ms"": 1184, ""max_cost_cents"": 8}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-23 11:02:07.744019,2025-09-23 11:16:10.744019,3.45,1073,0.4
run_080,dynamic_pricing,tenant_c,failed,fast,"{""max_latency_ms"": 1537, ""max_cost_cents"": 9}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-23 11:02:07.744019,2025-09-23 11:25:04.744019,3.79,2321,0.23
run_081,personalized_outfit,tenant_a,failed,fast,"{""max_latency_ms"": 2431, ""max_cost_cents"": 14}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-10 11:02:07.744019,2025-09-10 11:34:46.744019,5.59,1201,0.22
run_082,personalized_outfit,tenant_c,succeeded,fast,"{""max_latency_ms"": 2374, ""max_cost_cents"": 15}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-26 11:02:07.744019,2025-09-26 11:13:38.744019,7.65,785,0.3
run_083,personalized_outfit,tenant_c,failed,fast,"{""max_latency_ms"": 2032, ""max_cost_cents"": 8}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-21 11:02:07.744019,2025-09-21 11:26:36.744019,6.12,1693,0.36
run_084,dynamic_pricing,tenant_b,succeeded,thorough,"{""max_latency_ms"": 2110, ""max_cost_cents"": 8}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-19 11:02:07.744019,2025-09-19 11:12:42.744019,8.67,1485,0.06
run_085,personalized_outfit,tenant_c,failed,fast,"{""max_latency_ms"": 1525, ""max_cost_cents"": 10}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-02 11:02:07.744019,2025-09-02 11:25:47.744019,4.78,2463,0.4
run_086,dynamic_pricing,tenant_b,succeeded,fast,"{""max_latency_ms"": 2488, ""max_cost_cents"": 6}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-30 11:02:07.744019,2025-09-30 11:15:25.744019,8.55,909,0.6
run_087,design_recommendation,tenant_b,succeeded,thorough,"{""max_latency_ms"": 2636, ""max_cost_cents"": 11}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-25 11:02:07.744019,2025-09-25 11:26:09.744019,8.91,758,0.42
run_088,design_recommendation,tenant_a,succeeded,fast,"{""max_latency_ms"": 2809, ""max_cost_cents"": 11}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-17 11:02:07.744019,2025-09-17 11:15:48.744019,9.94,2139,0.07
run_089,dynamic_pricing,tenant_a,failed,fast,"{""max_latency_ms"": 2747, ""max_cost_cents"": 15}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-14 11:02:07.744019,2025-09-14 11:30:31.744019,8.66,1248,0.28
run_090,dynamic_pricing,tenant_a,failed,thorough,"{""max_latency_ms"": 1402, ""max_cost_cents"": 5}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-10 11:02:07.744019,2025-09-10 11:35:17.744019,8.05,2114,0.37
run_091,dynamic_pricing,tenant_d,succeeded,thorough,"{""max_latency_ms"": 2184, ""max_cost_cents"": 6}","{""eco_min_score"": 0.4, ""culture_check"": false}",2025-09-23 11:02:07.744921,2025-09-23 11:22:34.744921,4.14,556,0.4
run_092,personalized_outfit,tenant_d,failed,fast,"{""max_latency_ms"": 1925, ""max_cost_cents"": 7}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-29 11:02:07.744921,2025-09-29 11:30:04.744921,7.54,1786,0.35
run_093,dynamic_pricing,tenant_a,failed,fast,"{""max_latency_ms"": 1142, ""max_cost_cents"": 8}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-05 11:02:07.744921,2025-09-05 11:24:28.744921,6.79,920,0.35
run_094,personalized_outfit,tenant_d,failed,fast,"{""max_latency_ms"": 1594, ""max_cost_cents"": 13}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-18 11:02:07.744921,2025-09-18 11:12:01.744921,6.07,2221,0.0
run_095,design_recommendation,tenant_d,failed,fast,"{""max_latency_ms"": 2071, ""max_cost_cents"": 6}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-15 11:02:07.744921,2025-09-15 11:21:08.744921,5.11,2384,0.0
run_096,dynamic_pricing,tenant_d,failed,thorough,"{""max_latency_ms"": 2494, ""max_cost_cents"": 14}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-25 11:02:07.744921,2025-09-25 11:30:53.744921,3.58,1531,0.4
run_097,design_recommendation,tenant_c,failed,thorough,"{""max_latency_ms"": 2015, ""max_cost_cents"": 14}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-04 11:02:07.744921,2025-09-04 11:18:59.744921,2.1,1951,0.4
run_098,design_recommendation,tenant_b,failed,thorough,"{""max_latency_ms"": 1391, ""max_cost_cents"": 6}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-30 11:02:07.744921,2025-09-30 11:34:10.744921,8.34,1500,0.26
run_099,design_recommendation,tenant_c,failed,thorough,"{""max_latency_ms"": 1390, ""max_cost_cents"": 5}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-05 11:02:07.744921,2025-09-05 11:25:59.744921,6.66,2050,0.4
run_100,design_recommendation,tenant_b,failed,fast,"{""max_latency_ms"": 1792, ""max_cost_cents"": 11}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-11 11:02:07.744921,2025-09-11 11:24:40.744921,8.71,1256,0.07
run_101,personalized_outfit,tenant_d,failed,fast,"{""max_latency_ms"": 1670, ""max_cost_cents"": 12}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-12 11:02:07.744921,2025-09-12 11:16:28.744921,5.47,2301,0.26
run_102,dynamic_pricing,tenant_a,succeeded,thorough,"{""max_latency_ms"": 1059, ""max_cost_cents"": 15}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-04 11:02:07.744921,2025-09-04 11:12:35.744921,4.68,1499,0.42
run_103,personalized_outfit,tenant_d,succeeded,thorough,"{""max_latency_ms"": 1114, ""max_cost_cents"": 7}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-06 11:02:07.744921,2025-09-06 11:12:03.744921,9.88,1591,0.24
run_104,personalized_outfit,tenant_b,succeeded,fast,"{""max_latency_ms"": 1275, ""max_cost_cents"": 8}","{""eco_min_score"": 0.4, ""culture_check"": false}",2025-09-25 11:02:07.744921,2025-09-25 11:26:43.744921,9.12,1560,0.26
run_105,personalized_outfit,tenant_c,failed,thorough,"{""max_latency_ms"": 2696, ""max_cost_cents"": 15}","{""eco_min_score"": 0.4, ""culture_check"": false}",2025-09-18 11:02:07.745919,2025-09-18 11:33:11.745919,2.18,2145,0.4
run_106,dynamic_pricing,tenant_a,failed,thorough,"{""max_latency_ms"": 1769, ""max_cost_cents"": 12}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-25 11:02:07.745919,2025-09-25 11:26:42.745919,2.53,2424,0.31
run_107,dynamic_pricing,tenant_d,succeeded,fast,"{""max_latency_ms"": 2740, ""max_cost_cents"": 5}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-22 11:02:07.745919,2025-09-22 11:16:22.745919,8.78,2362,0.01
run_108,personalized_outfit,tenant_b,failed,fast,"{""max_latency_ms"": 1250, ""max_cost_cents"": 6}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-10 11:02:07.745919,2025-09-10 11:14:47.745919,8.03,514,0.4
run_109,dynamic_pricing,tenant_c,failed,fast,"{""max_latency_ms"": 2750, ""max_cost_cents"": 7}","{""eco_min_score"": 0.7, ""culture_check"": true}",2025-09-25 11:02:07.745919,2025-09-25 11:33:03.745919,1.3,1568,0.4
